dia;mes;ano;Time;Vlna;Vlnb;Vlnc;Vllavg;kWa;kWb;kWc;kVARa;kVARb;kVARc;Ia;Ib;Ic;kWtot
1;10;2021;0:00:00.000;7798.062988;7856.080078;7894.187500;13595.227;2007.246826;1859.138672;2164.595703;857.337952;771.059631;1105.163574;280.390259;256.599396;308.297821;6030.981445;
1;10;2021;0:10:00.000;7801.250488;7857.891113;7895.444336;13598.834;1992.727783;1866.136230;2172.889404;849.055420;789.326294;1111.209961;278.161255;258.254028;309.560730;6031.753418;
1;10;2021;0:20:00.000;7779.125000;7835.088867;7873.906250;13560.449;1969.540894;1832.318726;2138.650635;836.930481;774.400391;1067.783081;275.621155;254.314209;304.078339;5940.510254;
1;10;2021;0:30:00.000;7796.046875;7858.408203;7893.645996;13595.082;1998.611084;1856.974365;2147.101318;845.093323;779.484497;1084.491699;278.856018;256.690643;305.218506;6002.686523;
1;10;2021;0:40:00.000;7797.527832;7858.092773;7892.290527;13594.953;1984.924683;1839.733521;2145.283936;844.811768;780.210693;1101.128296;277.206512;254.740479;306.038666;5969.942383;
1;10;2021;0:50:00.000;7788.852539;7850.308105;7887.451172;13582.645;2020.918823;1855.020752;2159.543213;848.474365;768.710510;1082.342041;281.957947;256.235901;306.789154;6035.482910;
1;10;2021;1:00:00.000;7819.500000;7873.164063;7913.384766;13628.502930;1947.416260;1780.313843;2079.048828;815.380005;741.571533;1049.737427;270.617065;245.485901;294.912140;5806.779297;
1;10;2021;1:10:00.000;7937.644043;7980.348145;8022.495605;13821.573;1835.390381;1685.387573;1952.676392;742.825256;704.665466;972.926758;250.188995;229.559921;272.645660;5473.454102;
1;10;2021;1:20:00.000;7981.277344;8020.689453;8063.038086;13893.443;1834.031616;1711.998047;1971.505981;764.803711;718.271606;999.721924;249.811737;232.181656;274.925812;5517.535645;
1;10;2021;1:30:00.000;7999.168457;8040.492188;8072.900879;13920.883;1876.164063;1745.868896;2024.182861;781.139465;723.877197;1021.123535;254.914627;235.778076;281.640442;5646.215820;
1;10;2021;1:40:00.000;7983.422363;8020.041016;8059.291504;13892.130;1934.955200;1830.256348;2054.961670;766.542053;730.208496;998.881470;261.560913;246.440018;284.354858;5820.172852;
1;10;2021;1:50:00.000;7980.931641;8020.472656;8052.479004;13886.976;1992.272095;1834.799438;2104.718750;771.432434;727.414185;1016.173218;268.531281;246.868149;291.140381;5931.790039;
1;10;2021;2:00:00.000;7958.461426;8003.179199;8029.700684;13850.845;2052.055664;1890.042114;2167.708008;776.427917;724.928040;1028.648071;276.576721;253.732651;299.745575;6109.805664;
