dia;mes;ano;Time;Vlna;Vlnb;Vlnc;Vllavg;kWa;kWb;kWc;kVARa;kVARb;kVARc;Ia;Ib;Ic;kWtot
01;10;2018;00:00:00.000;7968.099121;8022.772949;8033.867676;13870.359;2060.464111;2056.168945;2022.171021;649.280457;647.672791;609.380676;271.894806;269.331055;263.660736;6138.803711
01;10;2018;00:10:00.000;7974.609375;8028.221680;8041.185059;13881.471;2085.091064;2079.655273;2032.498901;636.970276;655.526550;612.213379;274.205414;272.252930;264.794556;6197.245605
01;10;2018;00:20:00.000;7961.535156;8018.395996;8029.006348;13861.202;2101.634766;2079.997070;2052.755127;647.122375;633.067261;614.563660;277.027252;271.814758;267.712585;6234.387207
01;10;2018;00:30:00.000;7956.145996;8011.562012;8018.625977;13848.141;2133.037598;2113.328125;2048.264404;659.726807;635.263245;596.438904;281.486786;276.134796;266.933105;6294.629883
01;10;2018;00:40:00.000;7943.207520;8001.671387;8007.905273;13828.735;2195.344238;2141.640625;2089.614014;641.925476;641.253235;588.166626;288.898529;280.124542;272.015472;6426.599121
01;10;2018;00:50:00.000;7951.329590;8012.067383;8018.145020;13845.286;2237.219727;2174.273438;2162.615479;642.492615;656.145813;600.582581;293.776276;284.252960;280.955719;6574.108887
01;10;2018;01:00:00.000;7957.840820;8016.367676;8026.853516;13856.465820;2288.968262;2245.107910;2185.616699;624.752686;638.094055;576.718323;299.391724;292.116913;282.869293;6719.693359
01;10;2018;01:10:00.000;7952.843262;8003.135742;8011.509277;13836.932;2277.859131;2318.390869;2236.816162;598.774719;615.651123;525.895020;297.641052;300.916779;288.331635;6833.066406
01;10;2018;01:20:00.000;7981.781250;8031.385742;8050.832031;13892.467;2191.629150;2211.880615;2124.389648;562.828613;576.372253;450.878723;285.243469;285.992065;271.648895;6527.899902
01;10;2018;01:30:00.000;7992.973633;8044.084961;8056.289551;13909.359;2192.805908;2202.853271;2154.413574;561.553589;597.194275;464.148529;284.981506;285.251434;275.555145;6550.072754
01;10;2018;01:40:00.000;7996.891113;8045.034180;8062.622559;13915.769;2202.986572;2226.027588;2149.696289;579.166504;603.606018;474.375519;286.715027;288.300690;275.096924;6578.710449
01;10;2018;01:50:00.000;7987.609375;8041.201660;8044.118652;13897.504;2244.172363;2209.835449;2199.941162;594.058289;611.314697;521.908447;292.504578;286.726532;283.062103;6653.948730
01;10;2018;02:00:00.000;7976.793945;8033.232422;8037.892090;13883.027;2265.912842;2208.247803;2245.057617;600.054260;605.671875;533.977600;295.681946;286.669678;289.048767;6719.218750
