dia;mes;ano;Time;Vlna;Vlnb;Vlnc;Vllavg;kWa;kWb;kWc;kVARa;kVARb;kVARc;Ia;Ib;Ic;kWtot
01;01;2019;00:00:00.000;8018.817383;8062.583008;8088.661133;13954.000000;2606.868164;2601.052246;2611.912842;804.813538;796.805969;759.074280;341.356384;338.383240;337.429504;7819.833008
01;01;2019;00:10:00.000;8016.673340;8061.924805;8083.494629;13949.415;2564.812500;2578.971191;2597.150635;801.607300;788.866577;761.698425;336.268921;335.464417;335.926147;7740.934570
01;01;2019;00:20:00.000;8017.328125;8061.329102;8085.722168;13950.758;2569.000732;2572.334717;2576.826904;802.016541;795.513916;762.120483;336.711670;334.910431;333.398499;7718.162598
01;01;2019;00:30:00.000;8022.489746;8067.412598;8090.545410;13960.039;2557.899170;2544.290283;2543.658447;796.463928;783.235413;755.348450;334.966339;330.877777;329.028534;7645.848145
01;01;2019;00:40:00.000;8024.729980;8068.468262;8091.108887;13962.276;2534.715332;2535.432373;2518.923584;786.289185;778.186829;755.215698;331.731018;329.576050;326.061523;7589.070801
01;01;2019;00:50:00.000;8024.372070;8069.516113;8091.272949;13962.787;2524.667725;2514.880615;2511.562988;784.407776;786.190491;754.556458;330.438904;327.365387;325.119934;7551.111816
01;01;2019;01:00:00.000;8023.220703;8069.328613;8088.026367;13960.152;2518.372070;2509.834229;2525.125977;789.795288;780.581299;754.233948;329.916779;326.562866;326.803436;7553.332031
01;01;2019;01:10:00.000;8036.961914;8084.926270;8100.476074;13984.267;2453.439697;2440.468994;2439.863770;771.756226;773.456360;737.880737;320.989502;317.477905;315.661652;7333.772461
01;01;2019;01:20:00.000;8048.738770;8094.036621;8113.122559;14003.592;2351.473145;2378.309814;2382.017334;769.160950;763.472107;711.964600;308.367249;309.449249;307.420258;7111.800781
01;01;2019;01:30:00.000;7987.551758;8027.579102;8050.094238;13893.419;2227.006836;2225.633789;2195.289307;677.368042;708.093628;593.940796;292.456146;291.833466;283.553925;6647.929688
01;01;2019;01:40:00.000;7992.429688;8034.332520;8052.784668;13901.695;2186.938232;2199.314453;2181.972900;668.025574;697.453491;596.749939;287.149811;288.059509;281.923065;6568.226074
01;01;2019;01:50:00.000;7991.085938;8035.869629;8054.907715;13903.031250;2203.171387;2188.305176;2167.112061;683.660950;700.017517;586.299927;289.669434;286.792419;279.756989;6558.588379
01;01;2019;02:00:00.000;7992.064453;8038.724609;8054.354980;13904.927;2180.836914;2186.584717;2158.805420;691.988953;697.684265;589.177490;287.290009;286.392273;278.869385;6526.227051
01;01;2019;02:10:00.000;7997.350586;8039.861816;8055.442871;13909.263;2168.148926;2151.946289;2142.478516;663.201965;697.159790;607.327332;284.545593;282.243408;277.488251;6462.573730
01;01;2019;02:20:00.000;7996.662598;8037.183105;8054.064453;13906.521;2181.593994;2167.952881;2130.226074;658.001526;687.819580;594.460693;285.992065;283.863464;275.637817;6479.772949
01;01;2019;02:30:00.000;7993.183105;8031.489258;8051.396484;13899.681;2183.796875;2177.796875;2130.370850;655.319824;697.195251;591.374817;286.285217;285.569031;275.661713;6491.964844
01;01;2019;02:40:00.000;7989.272461;8024.133789;8045.135742;13889.567;2198.022949;2221.347900;2155.998535;668.207886;729.008850;616.302673;288.571869;292.237732;279.767029;6575.369141
01;01;2019;02:50:00.000;7990.304199;8030.491211;8045.588379;13894.087;2174.491211;2212.759277;2166.747314;666.617493;690.553711;611.408752;285.679840;289.541351;280.867493;6553.997559
01;01;2019;03:00:00.000;7983.963379;8022.943359;8037.987305;13881.687;2204.840576;2218.315186;2221.161865;677.049744;700.541077;627.987366;289.922485;290.829681;288.176025;6644.317871
01;01;2019;03:10:00.000;7983.540527;8021.410645;8041.269043;13882.439;2236.668701;2222.123535;2209.969727;677.257385;705.972534;612.551331;293.759338;291.564056;286.236938;6668.762207
01;01;2019;03:20:00.000;7981.180664;8016.716797;8037.375000;13876.104;2228.316895;2257.076904;2217.504639;661.524109;707.352356;612.026062;292.290131;295.960297;287.280670;6702.898438
01;01;2019;03:30:00.000;7975.691406;8017.093750;8037.792480;13873.400;2255.406494;2262.701172;2240.632324;685.877197;696.735229;605.238708;296.611206;296.230560;289.820374;6758.740234
01;01;2019;03:40:00.000;7976.792480;8017.802246;8035.831543;13873.293;2255.508057;2244.478760;2262.710449;670.029175;685.811584;621.354065;296.043213;293.661041;293.065247;6762.697266
01;01;2019;03:50:00.000;7971.224609;8004.591309;8028.970703;13858.486;2274.072510;2277.650635;2242.220215;668.038940;715.743347;625.603271;298.438141;299.220398;291.011566;6793.943359
01;01;2019;04:00:00.000;7965.982422;8002.487305;8020.325684;13849.245;2302.276855;2325.721436;2328.536621;692.487122;713.830505;662.790344;302.890839;304.967010;302.927979;6956.535156
01;01;2019;04:10:00.000;7953.224609;7985.304688;8008.558105;13825.172;2331.723633;2341.029785;2295.327881;677.122620;711.245056;634.408142;306.353424;307.330261;298.403198;6968.081543
01;01;2019;04:20:00.000;7968.121582;8004.918945;8027.919922;13856.247070;2348.367920;2354.287354;2328.858154;703.573792;717.789917;645.463074;308.750885;308.411774;302.111450;7031.513672
01;01;2019;04:30:00.000;7966.811523;8002.864746;8027.314941;13853.947;2365.104492;2390.768066;2336.697998;714.206665;741.257446;637.179016;311.197205;313.741333;302.832367;7092.570801
01;01;2019;04:40:00.000;7963.881348;7997.295410;8021.411621;13845.616;2385.071045;2431.953857;2373.073242;689.173706;731.809204;636.778015;312.847809;318.514404;307.453491;7190.098145
01;01;2019;04:50:00.000;7958.305176;8000.096191;8014.122070;13839.779;2393.159912;2420.656738;2425.226807;709.649719;737.706726;655.412170;314.800934;317.309052;314.663116;7239.043457
01;01;2019;05:00:00.000;7959.478027;7996.856445;8010.038086;13836.224;2407.788330;2487.085205;2450.206055;705.648865;750.290833;688.036133;316.372131;325.855743;318.876587;7345.079590
01;01;2019;05:10:00.000;7949.163086;7987.470215;8003.954590;13821.325;2471.141357;2522.550537;2456.509277;726.502319;753.345642;685.846130;325.190918;330.619476;319.855042;7450.201172
01;01;2019;05:20:00.000;7950.719727;7988.178223;8009.479004;13825.827;2486.217041;2526.312256;2466.804443;722.884338;751.270386;661.890381;326.804230;330.964020;320.072510;7479.333984
01;01;2019;05:30:00.000;7944.101074;7983.739258;8003.763672;13816.124;2529.929688;2513.047852;2508.225586;723.363281;738.745605;662.952881;332.364868;329.154449;325.357056;7551.203125
01;01;2019;05:40:00.000;7883.294434;7919.674805;7944.990234;13710.100;2520.285156;2539.209961;2531.737793;706.489929;748.201050;644.244019;333.184814;335.322083;329.981873;7591.232910
01;01;2019;05:50:00.000;7858.272949;7891.508789;7915.237305;13662.203;2530.929932;2563.830566;2555.682617;673.137634;742.630676;650.859131;334.431488;339.341156;334.373688;7650.442871
01;01;2019;06:00:00.000;7867.181152;7902.328613;7928.127930;13681.016;2571.687744;2550.285645;2578.107910;683.858521;733.389648;652.378967;339.407715;336.924011;336.657837;7700.081055
01;01;2019;06:10:00.000;7863.951172;7894.203125;7921.862793;13670.846680;2581.698975;2637.115723;2591.193359;693.246643;743.107666;667.426758;341.099274;348.171967;338.986511;7810.008301
01;01;2019;06:20:00.000;7863.876465;7893.920410;7923.160645;13671.396;2608.761230;2678.994629;2561.495361;695.596436;731.108765;661.993713;344.482361;352.888397;335.135498;7849.251465
01;01;2019;06:30:00.000;7855.225586;7886.308105;7916.922363;13658.381;2622.246338;2689.795410;2595.807373;709.827881;733.842285;663.220642;347.037018;354.675873;339.665253;7907.849121
01;01;2019;06:40:00.000;7854.678223;7889.557617;7912.539551;13657.386;2647.923584;2684.905273;2669.265625;706.311401;729.261047;683.767029;350.111450;353.803314;349.493225;8002.094238
01;01;2019;06:50:00.000;7847.242188;7881.538574;7909.749023;13646.865;2666.822266;2705.536133;2660.981201;726.383240;744.871399;673.828308;353.431030;357.200073;348.302887;8033.339355
01;01;2019;07:00:00.000;7847.950684;7879.779785;7910.394043;13646.629;2672.278076;2706.497314;2673.663086;718.543213;748.466858;673.867981;353.810364;357.505371;349.850708;8052.438477
01;01;2019;07:10:00.000;7841.612793;7874.901855;7900.062988;13634.189;2686.052490;2738.603760;2743.455078;722.692688;743.362488;692.601013;355.930725;361.475616;359.425415;8168.110840
01;01;2019;07:20:00.000;7842.728516;7876.135742;7903.890625;13637.739;2752.262695;2781.788818;2756.230957;737.579041;761.852539;693.577393;364.544098;367.367310;360.869751;8290.282227
01;01;2019;07:30:00.000;7826.841797;7858.153320;7889.845703;13610.079;2730.134033;2790.104980;2748.778564;744.043091;761.618347;698.194885;362.776154;369.196320;360.731598;8269.017578
01;01;2019;07:40:00.000;7822.657715;7856.451660;7891.528320;13607.669;2801.323486;2770.968750;2755.288086;761.603821;771.248718;689.481323;372.276581;367.242554;361.160828;8327.580078
01;01;2019;07:50:00.000;7824.820801;7856.938477;7890.958496;13608.870;2764.433105;2771.494385;2752.302490;753.602173;761.365662;704.055725;367.357117;366.950439;361.256439;8288.230469
01;01;2019;08:00:00.000;7825.281250;7859.562988;7896.995605;13614.144;2815.982422;2766.792725;2730.552979;764.160095;752.794922;669.077881;374.035217;365.955231;357.248840;8313.328125
01;01;2019;08:10:00.000;7833.598633;7865.536621;7899.150879;13623.614;2826.030029;2807.447266;2773.275635;755.700623;770.763489;697.100403;374.612427;371.276520;363.284576;8406.752930
01;01;2019;08:20:00.000;7825.935059;7861.658691;7897.638184;13616.089;2855.231445;2794.694580;2770.781494;774.012756;762.280945;681.115540;379.154541;369.609314;362.563049;8420.707031
01;01;2019;08:30:00.000;7832.679199;7868.773926;7902.614746;13626.958;2845.034180;2765.990723;2809.677002;772.991638;771.136597;695.291382;377.581390;366.064423;367.494110;8420.701172
01;01;2019;08:40:00.000;7837.926758;7869.649414;7907.892578;13633.548;2845.551025;2812.365234;2747.480225;764.850952;793.658386;694.451111;377.122314;372.419800;359.648682;8405.396484
01;01;2019;08:50:00.000;7839.288574;7872.730469;7906.994629;13635.593;2837.049072;2792.629395;2778.898193;778.121704;782.589722;715.763428;376.442352;369.506378;364.184570;8408.577148
01;01;2019;09:00:00.000;7839.972168;7875.964844;7908.666016;13638.834;2819.754395;2744.886719;2781.841797;761.596313;764.063171;706.283875;373.708588;362.878052;364.140625;8346.483398
01;01;2019;09:10:00.000;7847.801758;7882.094238;7917.263672;13651.854;2769.926514;2714.409912;2755.657227;767.058105;770.524719;701.281006;367.420807;359.101013;360.382355;8239.994141
01;01;2019;09:20:00.000;7838.208984;7870.219727;7905.316895;13632.552;2765.287354;2719.197266;2761.856201;752.810669;773.559631;701.407166;366.823547;360.367920;361.721283;8246.340820
01;01;2019;09:30:00.000;7836.420898;7871.355957;7906.416992;13632.808;2775.031982;2690.140625;2724.887451;766.275513;776.025940;708.298828;368.547119;356.858307;357.361908;8190.060059
