dia;mes;ano;Time;Vlna;Vlnb;Vlnc;Vllavg;kWa;kWb;kWc;kVARa;kVARb;kVARc;Ia;Ib;Ic;kWtot
01;05;2021;00:30:00.000;7854.649902;7985.462891;7972.635742;13747.850;2196.976807;1993.731934;2347.290527;914.293457;875.198730;1208.749268;303.421509;273.022125;331.646942;6537.999512
01;05;2021;00:40:00.000;7828.981445;7962.562500;7948.369629;13705.814;2175.268311;2021.311646;2332.817871;912.682373;882.511841;1188.619995;301.788330;277.359589;329.908386;6529.397949
01;05;2021;00:50:00.000;7836.555176;7967.306152;7952.245117;13715.167;2150.285645;2010.596680;2325.686523;912.315857;872.695679;1195.753540;298.538696;275.469360;329.351715;6486.568848
01;05;2021;01:00:00.000;7844.767578;7978.093750;7961.708496;13731.600;2157.287842;1997.933105;2305.332520;921.279480;877.902283;1201.835815;299.496033;273.902161;327.033600;6460.553711
01;05;2021;01:10:00.000;7864.027832;7990.066895;7976.527344;13758.187500;2103.777344;1968.244995;2269.578369;887.757446;859.325134;1182.647095;290.869934;269.179718;321.372986;6341.600586
01;05;2021;01:20:00.000;7943.094727;8062.641602;8047.352539;13886.643;2010.211304;1864.554810;2148.000732;849.317139;820.419556;1140.807983;275.307587;253.090149;302.811920;6022.766602
01;05;2021;01:30:00.000;7959.322266;8063.738770;8054.269531;13900.643;1876.424194;1824.407471;2066.785400;777.159851;779.552307;1084.574097;255.832153;246.569397;290.436218;5767.617188
01;05;2021;01:40:00.000;7899.056641;8007.105469;7995.860840;13799.410;1894.106812;1756.185547;2053.389160;756.098206;727.996826;1033.264282;258.874878;238.002533;288.200500;5703.681152
01;05;2021;01:50:00.000;7905.952637;8013.524902;7993.996582;13806.022;1888.061035;1794.265625;2072.135254;753.589722;756.059448;1041.952393;257.858856;243.547211;290.830505;5754.461914
01;05;2021;02:00:00.000;7903.868164;8014.921387;7994.474121;13805.887;1905.885986;1778.402588;2067.601318;755.812256;737.067871;1041.058472;260.169098;240.798706;290.300659;5751.889648
01;05;2021;02:10:00.000;7901.059570;8018.822754;7993.450684;13805.906250;1934.546631;1798.677612;2132.860107;761.950256;731.572327;1032.881592;263.912079;242.777222;297.252777;5866.084473
01;05;2021;02:20:00.000;7874.260742;7983.071777;7963.187988;13752.321;1933.432861;1836.352051;2136.539795;755.400208;744.566956;1027.576782;264.420685;248.833557;298.540833;5906.324707
01;05;2021;02:30:00.000;7848.007813;7957.691406;7943.733398;13711.260;1954.585449;1852.170654;2132.953613;749.082031;741.857483;1006.633545;267.560699;251.406158;297.779541;5939.709473
01;05;2021;02:40:00.000;7827.146484;7944.478516;7922.018066;13679.005;2007.087524;1880.166748;2223.613281;753.676270;739.354553;1022.763794;274.757233;255.035477;309.878143;6110.867188
01;05;2021;02:50:00.000;7796.387207;7907.312012;7890.734375;13621.715820;2030.256104;1913.175049;2247.204102;742.727722;738.521484;1007.654053;278.169861;260.094482;313.059113;6190.635254
01;05;2021;03:00:00.000;7791.147461;7905.907227;7880.483398;13611.963;2076.603027;1970.682617;2258.414307;731.756775;722.860352;997.474548;283.505646;266.268158;314.266815;6305.700195
01;05;2021;03:10:00.000;7753.539063;7865.226563;7847.713867;13547.803;2122.924561;1967.354736;2302.034424;739.359863;723.919800;985.624756;290.864655;267.368713;320.135071;6392.313965
01;05;2021;03:20:00.000;7754.527832;7866.144531;7845.858398;13547.792;2145.219727;2005.872070;2381.509277;745.196106;721.220154;1011.527588;293.843689;271.870667;330.852509;6532.601074
01;05;2021;03:30:00.000;7763.760742;7882.882324;7856.975098;13569.173;2181.687988;2022.998291;2439.236084;749.158875;724.230957;1014.122131;298.097290;273.460205;337.355286;6643.921875
01;05;2021;03:40:00.000;7741.293945;7855.564941;7836.755371;13528.738;2213.464600;2036.960449;2461.097168;740.167053;717.962280;992.021057;302.475525;275.855988;339.771118;6711.521973
01;05;2021;03:50:00.000;7719.948242;7832.989258;7812.717773;13489.461;2226.665527;2054.615234;2497.296875;724.870789;715.982178;1013.417847;304.402313;278.709717;346.157227;6778.577148
01;05;2021;04:00:00.000;7751.022949;7865.615723;7845.712891;13545.266;2319.525879;2107.639893;2544.945313;748.330750;742.701416;1036.992798;315.539490;285.066193;351.500763;6972.111328
01;05;2021;04:10:00.000;7738.152832;7848.410156;7830.854004;13519.316;2325.901611;2151.683105;2541.229492;740.638062;743.984985;1021.004883;316.589111;291.077118;351.021027;7018.814453
01;05;2021;04:20:00.000;7716.470703;7830.599121;7813.416016;13486.425;2363.604492;2207.448730;2590.978027;749.626404;747.028931;1026.787476;322.484009;298.635590;358.057953;7162.030762
01;05;2021;04:30:00.000;7697.492676;7819.431641;7801.607422;13462.174;2440.714111;2228.615723;2615.783203;774.925293;735.527039;1029.232300;333.832184;301.196289;361.751892;7285.112793
01;05;2021;04:40:00.000;7697.337891;7806.856934;7793.320801;13450.037;2432.120117;2276.391846;2642.050293;757.798279;744.492126;1031.274048;332.144836;307.887787;365.344391;7350.562500
01;05;2021;04:50:00.000;7680.658203;7792.509277;7775.630859;13421.882;2448.924561;2278.093018;2692.643311;759.865479;729.735474;1037.536255;335.069916;308.075378;372.556091;7419.661133
01;05;2021;05:00:00.000;7763.709961;7879.334473;7858.097168;13567.587;2479.519775;2341.361572;2731.352051;796.371338;779.870972;1072.803467;336.614838;314.263184;374.821136;7552.232910
01;05;2021;05:10:00.000;7760.773926;7875.824219;7856.400391;13562.876;2483.882080;2327.068359;2718.390869;798.576843;783.776917;1082.893555;337.395721;312.847504;373.825378;7529.341797
01;05;2021;05:20:00.000;7757.276367;7872.022949;7853.216797;13556.809570;2486.824951;2366.805908;2761.078613;797.196533;782.514709;1064.215820;337.889923;317.772827;378.203644;7614.709473
01;05;2021;05:30:00.000;7743.180176;7853.949707;7834.574707;13527.464;2542.809814;2404.732178;2794.163818;806.822571;805.390991;1089.138184;345.761261;323.973114;384.188782;7741.706055
01;05;2021;05:40:00.000;7737.969727;7849.819824;7830.467773;13519.692;2504.928711;2398.271973;2805.040771;795.935242;784.660522;1078.965576;340.890289;322.568970;385.250122;7708.241211
01;05;2021;05:50:00.000;7725.357422;7833.674805;7823.031250;13498.789;2588.952881;2473.124512;2853.353760;805.903992;791.459961;1078.446655;352.205902;332.572754;391.366730;7915.430664
01;05;2021;06:00:00.000;7760.249512;7869.442871;7854.975098;13558.005;2637.480225;2490.292725;2915.563477;827.686096;814.788696;1101.651489;357.425751;334.043213;398.230835;8043.336426
01;05;2021;06:10:00.000;7740.773926;7851.693848;7838.610840;13527.062500;2640.350586;2520.815918;2922.415527;832.254578;800.816162;1092.902100;358.854828;337.968536;399.509796;8083.582031
01;05;2021;06:20:00.000;7715.810059;7843.354492;7800.632324;13485.911;2650.767578;2546.023438;2927.010498;845.702454;786.886963;1081.571289;361.834564;340.935547;401.533966;8123.801270
