Date;Time;Vlna;Vlnb;Vlnc;Vllavg;kWa;kWb;kWc;kVAR;;kVARb;kVARc;Ia;Ib;Ic;kWtot
01;05;2018;00:00:00.000;8005.862793;8048.787109;8099.183105;13944.989258;2249.548340;2111.306152;1923.209229;744.469604;676.238953;521.246399;296.524017;275.839569;246.507401;6284.063477
01;05;2018;00:10:00.000;8011.420898;8053.443848;8097.773926;13950.072266;2231.883057;2104.090576;1916.736084;724.983032;681.411926;508.082764;293.481598;275.030548;245.371689;6252.709473
01;05;2018;00:20:00.000;8000.790039;8041.084961;8090.043945;13932.329102;2263.033936;2112.690674;1917.854980;738.538391;678.094482;504.164520;298.099579;276.340637;245.625122;6293.579102
01;05;2018;00:30:00.000;8004.908691;8043.829102;8090.891113;13936.784180;2226.820801;2128.971924;1915.812500;715.763367;670.138611;508.878143;292.781891;277.878357;245.494659;6271.605469
01;05;2018;00:40:00.000;8005.434570;8048.458984;8093.539551;13941.281250;2253.132080;2101.748291;1922.250610;731.262329;666.009766;519.034424;296.487427;274.360809;246.512238;6277.130859
01;05;2018;00:50:00.000;8010.629883;8056.768066;8098.038086;13951.670898;2251.759277;2115.508301;1927.356689;719.939697;647.147827;515.195129;295.710266;275.027496;246.860168;6294.624512
01;05;2018;01:00:00.000;8001.513184;8041.267578;8088.228027;13931.778320;2238.617676;2121.729736;1908.997192;727.267944;664.759827;505.634460;294.804749;276.937622;244.696716;6269.344727
01;05;2018;01:10:00.000;8033.939941;8075.328125;8118.693848;13987.659180;2126.523682;2007.795166;1799.277344;695.928894;637.779114;463.433319;279.251953;261.426819;229.536514;5933.596191
01;05;2018;01:20:00.000;8060.119629;8094.954102;8137.675781;14024.961914;2035.069458;1959.807373;1736.470581;669.995605;639.662048;440.696655;266.640564;255.282867;220.886902;5731.347656
01;05;2018;01:30:00.000;8058.186523;8100.844238;8136.511230;14026.533203;2084.974609;1938.280762;1763.580688;682.644043;641.673035;448.981934;273.081970;252.712646;224.486053;5786.835938
01;05;2018;01:40:00.000;8059.625488;8098.471680;8129.383789;14021.840820;2065.291016;1960.297852;1779.351929;656.102844;643.534851;451.174194;269.789764;255.509369;226.669724;5804.940430
01;05;2018;01:50:00.000;8050.923828;8095.912598;8128.448242;14014.799805;2093.496338;1982.760376;1816.626587;683.118652;633.608154;449.185944;274.427277;257.852936;231.105209;5892.883301
01;05;2018;02:00:00.000;8045.107910;8087.337891;8119.925293;14001.543945;2093.214844;1970.330566;1804.683594;674.857910;642.911072;438.398621;274.349426;257.085663;229.659683;5868.229004
01;05;2018;02:10:00.000;8042.744629;8080.787598;8117.777344;13995.124023;2146.739014;2058.160645;1839.209351;686.803528;646.970642;455.237366;281.257111;267.827240;234.412003;6044.108887
01;05;2018;02:20:00.000;8029.118164;8065.220215;8104.711914;13970.715820;2207.197266;2070.904785;1886.406006;685.510010;641.271790;452.076569;288.861023;269.679596;240.371613;6164.507813
01;05;2018;02:30:00.000;8019.569824;8055.278809;8090.576172;13951.291016;2214.800293;2097.449463;1936.497559;679.068604;639.444702;467.575775;289.909271;273.120300;247.249435;6248.747559
01;05;2018;02:40:00.000;8020.298828;8050.169434;8091.324707;13949.167969;2272.375244;2161.604004;1965.675781;681.478027;642.756836;475.682892;296.840424;281.071014;250.979294;6399.655273
01;05;2018;02:50:00.000;8010.162109;8039.154785;8088.707031;13935.443359;2312.885010;2215.883545;1983.331421;712.577454;665.729309;471.621368;303.191284;288.754333;253.109665;6512.100098
01;05;2018;03:00:00.000;7998.052734;8032.301758;8072.244141;13914.976563;2339.141113;2226.535889;2039.913696;729.981018;658.715698;483.952148;307.480560;290.080902;260.821075;6605.590820
01;05;2018;03:10:00.000;7992.316406;8021.979980;8068.398438;13903.452148;2388.043945;2254.296143;2062.235596;728.158875;649.410461;492.074036;313.503326;293.466339;263.943176;6704.575684
01;05;2018;03:20:00.000;7987.980469;8010.323730;8065.687988;13892.625977;2467.232422;2392.908936;2097.101318;737.983826;697.789490;500.553741;323.620605;312.203003;268.500824;6957.242676
01;05;2018;03:30:00.000;7979.965820;8007.449707;8058.693359;13882.290039;2540.414551;2441.277832;2179.828125;769.436279;693.230652;531.559937;333.833130;317.961823;279.588989;7161.520508
01;05;2018;03:40:00.000;7970.691406;8000.745117;8055.770020;13871.351563;2567.922852;2414.140381;2168.268066;767.118835;681.855896;537.390747;337.456573;314.642059;278.523315;7150.331543
01;05;2018;03:50:00.000;7971.072754;7997.521973;8059.431152;13871.801758;2644.683838;2469.365234;2218.952881;799.289246;705.899048;536.212097;347.883392;322.283813;284.473663;7333.001953
