Date;Time;Vlna;Vlnb;Vlnc;Vllavg;;kWa;;kWb;kWc;kVARa;kVARb;kVARc;Ia;Ib;Ic;kWtot
01;07;2018;00:00:00.000;8048.295410;8106.879395;8181.875977;14050.574219;1980.430542;1624.815430;2011.946289;612.498901;413.483002;615.230835;258.286652;207.336609;257.881439;5617.192383
01;07;2018;00:10:00.000;8044.180664;8107.962402;8167.999512;14040.823242;1946.869995;1623.867065;1995.648193;599.702209;408.427612;607.423706;254.025192;207.054260;256.157196;5566.385254
01;07;2018;00:20:00.000;8039.597168;8103.736816;8167.901855;14035.686523;1964.036865;1633.786133;2004.802734;613.162903;404.805511;611.536194;256.661530;208.218933;257.355927;5602.625977
01;07;2018;00:30:00.000;8052.008301;8111.762695;8176.082031;14052.184570;1944.796753;1630.291382;2011.018555;603.850098;416.337097;647.070801;253.691803;207.953247;259.134644;5586.106934
01;07;2018;00:40:00.000;8063.635742;8122.332520;8189.513184;14072.766602;1953.808838;1640.546021;1992.581787;601.724182;412.959564;630.307434;254.310486;208.806488;255.966705;5586.937012
01;07;2018;00:50:00.000;7971.840820;8032.772461;8098.883789;13915.742188;1917.082764;1635.719360;1999.987183;545.076233;380.797791;599.780273;250.763336;209.578094;258.482727;5552.789063
01;07;2018;01:00:00.000;7939.579590;8008.168457;8068.281250;13865.246094;1882.695068;1609.790039;1975.165894;532.178589;360.021637;563.858093;247.180450;206.514374;255.280380;5467.651367
01;07;2018;01:10:00.000;7942.645020;8007.036133;8076.134766;13870.875000;1887.987427;1600.072876;1969.358398;541.601685;355.036224;559.269775;248.047806;205.231308;254.188675;5457.418457
01;07;2018;01:20:00.000;7899.642578;7959.380859;8027.577637;13790.502930;1828.655518;1558.371826;1897.329712;504.010345;335.462524;503.328339;240.913696;200.839462;245.242508;5284.356934
01;07;2018;01:30:00.000;7934.791016;7993.077637;8071.641113;13855.676758;1838.354126;1559.541992;1894.692627;516.620483;345.261719;501.214935;241.458954;200.417969;243.558624;5292.588867
01;07;2018;01:40:00.000;7989.740234;8040.220703;8114.523926;13939.268555;1745.732910;1481.373779;1800.131470;485.031372;319.265198;472.965210;227.741882;189.165421;230.240173;5027.238281
01;07;2018;01:50:00.000;7996.125000;8045.228027;8128.797363;13954.055664;1715.945679;1428.860596;1730.245361;488.633942;304.094452;432.001526;224.111130;182.338257;220.348145;4875.051758
01;07;2018;02:00:00.000;7991.677734;8038.958984;8120.672363;13943.143555;1793.284546;1476.085205;1793.441406;489.318329;312.625580;460.103485;233.579865;188.467468;228.989761;5062.811035
01;07;2018;02:10:00.000;7987.165039;8031.682617;8113.147949;13931.985352;1764.369995;1471.601440;1793.533081;492.580994;327.709320;457.354980;230.367310;188.521408;229.162811;5029.504395
01;07;2018;02:20:00.000;7969.596191;8017.253418;8097.552734;13904.491211;1795.588745;1479.386475;1810.179810;492.259705;313.453735;457.868561;234.675430;189.454208;231.647781;5085.154785
01;07;2018;02:30:00.000;7974.594727;8022.924805;8096.127930;13909.812500;1808.439941;1511.374512;1832.957397;478.330719;304.688293;472.626129;235.672638;193.031967;234.911713;5152.771973
01;07;2018;02:40:00.000;7945.915527;7990.779297;8075.868652;13863.000000;1824.493774;1531.586426;1886.307251;495.376984;314.084229;448.809601;239.029495;196.559952;241.227142;5242.387695
01;07;2018;02:50:00.000;7937.075195;7987.224121;8066.026367;13850.142578;1873.216309;1560.137085;1894.958374;497.279266;328.706482;460.242615;245.312119;200.549362;242.933151;5328.312012
01;07;2018;03:00:00.000;7924.049316;7979.575684;8052.686035;13830.474609;1934.136230;1596.553345;1939.713379;500.733643;309.502625;469.151642;253.282135;204.785141;249.030670;5470.402832
01;07;2018;03:10:00.000;7909.329102;7960.336914;8033.150879;13799.576172;1943.196289;1626.229370;1998.016357;484.960907;326.003815;480.457306;254.441162;209.328064;257.032684;5567.441895
01;07;2018;03:20:00.000;7889.640625;7941.055176;8019.120605;13768.972656;1977.688354;1661.519409;1987.439575;493.828400;336.026886;469.709412;259.574371;214.459732;255.942047;5626.647461
01;07;2018;03:30:00.000;7898.713379;7955.851563;8025.000000;13786.124023;1980.576660;1679.010742;2049.005127;510.214264;332.367126;493.905579;260.196289;216.208054;263.935059;5708.592773
01;07;2018;03:40:00.000;7865.533691;7928.191406;7993.620605;13732.842773;2054.570557;1674.215820;2063.207520;512.494690;324.287628;471.568909;270.518982;216.181030;266.143494;5791.993652
01;07;2018;08:50:00.000;7847.144043;7903.931641;7974.170898;13696.979492;2086.601563;1751.239502;2084.177979;474.064484;329.294800;472.441895;274.063721;226.535339;269.413574;5922.019043
01;07;2018;09:00:00.000;7832.662109;7888.714844;7963.850098;13673.844727;2127.099121;1764.716675;2115.059570;474.084137;326.309326;462.790314;279.665161;228.637955;273.342651;6006.875000
